run_id;first_var;time_s;crit1;crit2;crit_total;max_memory_mb;order_str;variable_order
450;x6;7.383580799999891;197;143;340;69.90625;x6_x1_x5_x4_x2_x3;['x6', 'x1', 'x5', 'x4', 'x2', 'x3']
451;x5;1.8292641000000458;109;53;162;69.90625;x5_x4_x2_x3_x6_x1;['x5', 'x4', 'x2', 'x3', 'x6', 'x1']
452;x2;3.0834092000000055;180;95;275;69.40625;x2_x1_x6_x4_x5_x3;['x2', 'x1', 'x6', 'x4', 'x5', 'x3']
453;x4;7.212549999999965;198;147;345;69.53125;x4_x6_x1_x5_x2_x3;['x4', 'x6', 'x1', 'x5', 'x2', 'x3']
454;x3;1.8055041999998593;109;54;163;69.53125;x3_x1_x4_x5_x6_x2;['x3', 'x1', 'x4', 'x5', 'x6', 'x2']
455;x2;1.709808800000019;94;48;142;69.53125;x2_x3_x4_x1_x5_x6;['x2', 'x3', 'x4', 'x1', 'x5', 'x6']
456;x2;1.742953899999975;109;58;167;69.53125;x2_x1_x3_x4_x6_x5;['x2', 'x1', 'x3', 'x4', 'x6', 'x5']
457;x6;7.896891399999959;198;148;346;69.66015625;x6_x3_x2_x1_x4_x5;['x6', 'x3', 'x2', 'x1', 'x4', 'x5']
458;x3;3.3993132999999034;180;99;279;69.66796875;x3_x2_x6_x5_x4_x1;['x3', 'x2', 'x6', 'x5', 'x4', 'x1']
459;x4;2.5141627000000426;116;58;174;72.10546875;x4_x5_x3_x6_x2_x1;['x4', 'x5', 'x3', 'x6', 'x2', 'x1']
460;x4;2.5461250000000746;116;53;169;72.10546875;x4_x3_x5_x6_x2_x1;['x4', 'x3', 'x5', 'x6', 'x2', 'x1']
461;x6;7.761418000000049;198;151;349;71.59375;x6_x4_x3_x5_x1_x2;['x6', 'x4', 'x3', 'x5', 'x1', 'x2']
462;x6;7.329087999999956;199;150;349;70.02734375;x6_x5_x2_x3_x1_x4;['x6', 'x5', 'x2', 'x3', 'x1', 'x4']
463;x6;7.314865700000155;199;147;346;70.05859375;x6_x5_x4_x1_x2_x3;['x6', 'x5', 'x4', 'x1', 'x2', 'x3']
464;x5;1.7964219000000412;109;55;164;70.05859375;x5_x1_x3_x2_x6_x4;['x5', 'x1', 'x3', 'x2', 'x6', 'x4']
465;x1;1.7667851000001065;109;53;162;69.81640625;x1_x4_x2_x5_x6_x3;['x1', 'x4', 'x2', 'x5', 'x6', 'x3']
466;x1;1.6554591999999957;94;50;144;69.8203125;x1_x4_x3_x5_x2_x6;['x1', 'x4', 'x3', 'x5', 'x2', 'x6']
